Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
1000,6,104,128,5,32,0.5601383018493652
1000,6,112,128,5,32,0.5727552711963654
1000,6,120,128,5,32,0.5802194213867188
1000,6,128,128,5,32,0.584500617980957
1000,6,136,128,5,32,0.6982011830806732
1000,6,144,128,5,32,0.7094124937057495
1000,6,152,128,5,32,0.7155756044387818
1000,6,160,128,5,32,0.7224798727035523
1000,7,1,128,5,32,0.14064149856567382
1000,7,2,128,5,32,0.14740732312202454
1000,7,4,128,5,32,0.1538624119758606
1000,7,8,128,5,32,0.1605146312713623
1000,7,16,128,5,32,0.16627317070960998
1000,7,24,128,5,32,0.17070287823677063
1000,7,32,128,5,32,0.17362399458885192
1000,7,40,128,5,32,0.30500993371009827
1000,7,48,128,5,32,0.31451932787895204
1000,7,56,128,5,32,0.3187887215614319
1000,7,64,128,5,32,0.32379948735237124
1000,7,72,128,5,32,0.45022902369499207
1000,7,80,128,5,32,0.4586451709270477
1000,7,88,128,5,32,0.4653770351409912
1000,7,96,128,5,32,0.4699972915649414
1000,7,104,128,5,32,0.5919820582866668
1000,7,112,128,5,32,0.6031312084197998
1000,7,120,128,5,32,0.610792509317398
1000,7,128,128,5,32,0.6166571056842804
1000,7,136,128,5,32,0.7351256430149078
1000,7,144,128,5,32,0.7461883890628814
1000,7,152,128,5,32,0.756773726940155
1000,7,160,128,5,32,0.7612786388397217
1000,8,1,128,5,32,0.14458961486816407
1000,8,2,128,5,32,0.15266722559928894
1000,8,4,128,5,32,0.16024350643157959
1000,8,8,128,5,32,0.165898916721344
1000,8,16,128,5,32,0.1721853256225586
1000,8,24,128,5,32,0.17661828875541688
1000,8,32,128,5,32,0.17913774847984315
1000,8,40,128,5,32,0.3177784812450409
1000,8,48,128,5,32,0.32662772297859194
1000,8,56,128,5,32,0.3331142497062683
1000,8,64,128,5,32,0.3337703478336334
1000,8,72,128,5,32,0.4685785520076752
1000,8,80,128,5,32,0.47734050393104555
1000,8,88,128,5,32,0.48236226081848144
1000,8,96,128,5,32,0.4885840594768524
1000,8,104,128,5,32,0.6190737020969391
1000,8,112,128,5,32,0.6286584317684174
1000,8,120,128,5,32,0.635906503200531
1000,8,128,128,5,32,0.6394002485275269
1000,8,136,128,5,32,0.7676012110710144
1000,8,144,128,5,32,0.7797748911380767
1000,8,152,128,5,32,0.7861389207839966
1000,8,160,128,5,32,0.7908208942413331
1000,9,1,128,5,32,0.13045966982841492
1000,9,2,128,5,32,0.13632760882377626
1000,9,4,128,5,32,0.14382026433944703
1000,9,8,128,5,32,0.14988327860832215
1000,9,16,128,5,32,0.15459261059761048
